Data,ryzyko,prawdopodobienstwo,kierunek,epizod_rzeczywisty
2021-01-07,niskie,0.348,→,0
2021-01-08,niskie,0.136,↓,0
2021-01-09,niskie,0.077,↓,0
2021-01-10,niskie,0.036,↓,0
2021-01-11,niskie,0.059,↑,0
2021-01-12,niskie,0.105,↑,0
2021-01-13,niskie,0.048,↓,0
2021-01-14,niskie,0.102,↑,0
2021-01-15,niskie,0.16,↑,0
2021-01-16,średnie,0.526,↑,0
2021-01-17,niskie,0.405,↓,0
2021-01-18,niskie,0.149,↓,0
2021-01-19,niskie,0.081,↓,0
2021-01-20,niskie,0.218,↑,0
2021-01-21,niskie,0.239,↑,0
2021-01-22,niskie,0.394,↑,0
2021-01-23,średnie,0.545,↑,0
2021-01-24,wysokie,0.748,↑,0
2021-01-25,wysokie,0.817,↑,0
2021-01-26,wysokie,0.715,↓,0
2021-01-27,średnie,0.504,↓,0
2021-01-28,wysokie,0.677,↑,0
2021-01-29,średnie,0.612,↓,0
2021-01-30,niskie,0.427,↓,0
2021-01-31,niskie,0.113,↓,0
2021-02-01,niskie,0.044,↓,0
2021-02-02,niskie,0.089,↑,0
2021-02-03,niskie,0.056,↓,0
2021-02-04,niskie,0.079,↑,0
2021-02-05,niskie,0.049,↓,0
2021-02-06,niskie,0.032,↓,0
2021-02-07,niskie,0.045,↑,0
2021-02-08,niskie,0.178,↑,0
2021-02-09,niskie,0.122,↓,0
2021-02-10,niskie,0.055,↓,0
2021-02-11,niskie,0.015,↓,0
2021-02-12,niskie,0.007,↓,0
2021-02-13,niskie,0.009,↑,0
2021-02-14,niskie,0.006,↓,0
2021-02-15,niskie,0.004,↓,0
2021-02-16,niskie,0.025,↑,0
2021-02-17,niskie,0.106,↑,0
2021-02-18,niskie,0.039,↓,0
2021-02-19,niskie,0.041,↑,0
2021-02-20,niskie,0.015,↓,0
2021-02-21,niskie,0.019,↑,0
2021-02-22,niskie,0.007,↓,0
2021-02-23,niskie,0.004,↓,0
2021-02-24,niskie,0.004,↑,0
2021-02-25,niskie,0.024,↑,0
2021-02-26,niskie,0.05,↑,0
2021-02-27,niskie,0.12,↑,0
2021-02-28,niskie,0.09,↓,0
2021-03-01,niskie,0.085,↓,0
2021-03-02,niskie,0.089,↑,0
2021-03-03,niskie,0.324,↑,0
2021-03-04,niskie,0.3,↓,0
2021-03-05,niskie,0.285,↓,0
2021-03-06,niskie,0.134,↓,0
2021-03-07,niskie,0.311,↑,0
2021-03-08,niskie,0.381,↑,0
2021-03-09,niskie,0.12,↓,0
2021-03-10,niskie,0.021,↓,0
2021-03-11,niskie,0.243,↑,0
2021-03-12,średnie,0.546,↑,0
2021-03-13,wysokie,0.688,↑,0
2021-03-14,średnie,0.645,↓,0
2021-03-15,średnie,0.618,↓,0
2021-03-16,średnie,0.627,↑,0
2021-03-17,niskie,0.496,↓,0
2021-03-18,niskie,0.247,↓,0
2021-03-19,niskie,0.22,↓,0
2021-03-20,niskie,0.222,↑,0
2021-03-21,niskie,0.316,↑,0
2021-03-22,niskie,0.253,↓,0
2021-03-23,niskie,0.114,↓,0
2021-03-24,niskie,0.044,↓,0
2021-03-25,niskie,0.042,↓,0
2021-03-26,niskie,0.024,↓,0
2021-03-27,niskie,0.057,↑,0
2021-03-28,niskie,0.035,↓,0
2021-03-29,niskie,0.035,↓,0
2021-03-30,niskie,0.027,↓,0
2021-03-31,niskie,0.053,↑,0
2021-04-01,niskie,0.107,↑,0
2021-04-02,niskie,0.098,↓,0
2021-04-03,niskie,0.051,↓,0
2021-04-04,niskie,0.127,↑,0
2021-04-05,niskie,0.441,↑,0
2021-04-06,niskie,0.402,↓,0
2021-04-07,niskie,0.112,↓,0
2021-04-08,niskie,0.091,↓,0
2021-04-09,niskie,0.069,↓,0
2021-04-10,niskie,0.098,↑,0
2021-04-11,niskie,0.047,↓,0
2021-04-12,niskie,0.053,↑,0
2021-04-13,niskie,0.062,↑,0
2021-04-14,niskie,0.125,↑,0
2021-04-15,niskie,0.133,↑,1
2021-04-16,niskie,0.105,↓,0
2021-04-17,niskie,0.036,↓,0
2021-04-18,niskie,0.01,↓,0
2021-04-19,niskie,0.008,↓,0
2021-04-20,niskie,0.014,↑,0
2021-04-21,niskie,0.018,↑,0
2021-04-22,niskie,0.019,↑,0
2021-04-23,niskie,0.014,↓,0
2021-04-24,niskie,0.008,↓,0
2021-04-25,niskie,0.015,↑,0
2021-04-26,niskie,0.015,↑,0
2021-04-27,niskie,0.012,↓,0
2021-04-28,niskie,0.015,↑,0
2021-04-29,niskie,0.04,↑,0
2021-04-30,niskie,0.077,↑,0
2021-05-01,niskie,0.035,↓,0
2021-05-02,niskie,0.41,↑,0
2021-05-03,niskie,0.452,↑,0
2021-05-04,niskie,0.498,↑,0
2021-05-05,niskie,0.353,↓,0
2021-05-06,niskie,0.191,↓,0
2021-05-07,niskie,0.113,↓,0
2021-05-08,niskie,0.152,↑,0
2021-05-09,niskie,0.07,↓,0
2021-05-10,niskie,0.066,↓,0
2021-05-11,niskie,0.041,↓,0
2021-05-12,niskie,0.027,↓,0
2021-05-13,niskie,0.035,↑,0
2021-05-14,niskie,0.047,↑,0
2021-05-15,niskie,0.066,↑,0
2021-05-16,niskie,0.262,↑,0
2021-05-17,niskie,0.352,↑,0
2021-05-18,niskie,0.396,↑,0
2021-05-19,niskie,0.26,↓,0
2021-05-20,niskie,0.105,↓,0
2021-05-21,niskie,0.188,↑,0
2021-05-22,niskie,0.214,↑,0
2021-05-23,niskie,0.214,↓,0
2021-05-24,niskie,0.148,↓,0
2021-05-25,niskie,0.286,↑,0
