Data,Ryzyko_RF,Prawd_RF,Ryzyko_LSTM,Prawd_LSTM,Alert_Systemowy
2021-01-01,niskie,0.148,,,NIE
2021-01-02,niskie,0.176,,,NIE
2021-01-03,niskie,0.199,,,NIE
2021-01-04,niskie,0.298,,,NIE
2021-01-05,niskie,0.412,,,NIE
2021-01-06,niskie,0.414,,,NIE
2021-01-07,niskie,0.46,niskie,0.11,NIE
2021-01-08,niskie,0.385,niskie,0.06,NIE
2021-01-09,niskie,0.405,niskie,0.049,NIE
2021-01-10,niskie,0.188,niskie,0.034,NIE
2021-01-11,niskie,0.256,niskie,0.065,NIE
2021-01-12,niskie,0.435,niskie,0.094,NIE
2021-01-13,niskie,0.266,niskie,0.029,NIE
2021-01-14,wysokie,0.656,niskie,0.02,TAK
2021-01-15,niskie,0.42,niskie,0.028,NIE
2021-01-16,niskie,0.434,niskie,0.133,NIE
2021-01-17,niskie,0.3,niskie,0.076,NIE
2021-01-18,niskie,0.221,niskie,0.031,NIE
2021-01-19,niskie,0.282,niskie,0.039,NIE
2021-01-20,niskie,0.374,niskie,0.154,NIE
2021-01-21,średnie,0.524,niskie,0.127,NIE
2021-01-22,średnie,0.542,niskie,0.096,NIE
2021-01-23,wysokie,0.786,niskie,0.135,TAK
2021-01-24,wysokie,0.72,niskie,0.325,TAK
2021-01-25,wysokie,0.824,niskie,0.451,TAK
2021-01-26,średnie,0.633,niskie,0.257,NIE
2021-01-27,niskie,0.408,niskie,0.173,NIE
2021-01-28,średnie,0.519,niskie,0.449,NIE
2021-01-29,niskie,0.351,niskie,0.43,NIE
2021-01-30,średnie,0.605,niskie,0.159,NIE
2021-01-31,niskie,0.465,niskie,0.019,NIE
2021-02-01,niskie,0.365,niskie,0.006,NIE
2021-02-02,niskie,0.272,niskie,0.009,NIE
2021-02-03,niskie,0.251,niskie,0.005,NIE
2021-02-04,wysokie,0.73,niskie,0.005,TAK
2021-02-05,niskie,0.451,niskie,0.004,NIE
2021-02-06,niskie,0.206,niskie,0.005,NIE
2021-02-07,niskie,0.11,niskie,0.009,NIE
2021-02-08,niskie,0.355,niskie,0.033,NIE
2021-02-09,niskie,0.237,niskie,0.042,NIE
2021-02-10,niskie,0.21,niskie,0.027,NIE
2021-02-11,średnie,0.599,niskie,0.009,NIE
2021-02-12,niskie,0.277,niskie,0.004,NIE
2021-02-13,niskie,0.301,niskie,0.005,NIE
2021-02-14,niskie,0.269,niskie,0.003,NIE
2021-02-15,niskie,0.207,niskie,0.006,NIE
2021-02-16,niskie,0.233,niskie,0.023,NIE
2021-02-17,niskie,0.299,niskie,0.19,NIE
2021-02-18,niskie,0.283,niskie,0.073,NIE
2021-02-19,niskie,0.25,niskie,0.044,NIE
2021-02-20,niskie,0.143,niskie,0.007,NIE
