Data,sezon,ryzyko,prawdopodobienstwo,glowny_czynnik,kierunek,pewnosc,komunikat,epizod_rzeczywisty,epizod_Strzyza,epizod_Martwa_Wisla,epizod_Port_Polnocny
2021-01-01,zima,niskie,0.187,cos_doy,bez zmian,0.187,cos_doy – models ocenia ryzyko wezbrania na 19%. Kierunek wpływu: bez zmian. Pewność (prawdopodobieństwo z RF): 19%.,0,0,0,0
2021-01-02,zima,niskie,0.224,cos_doy,wzrost,0.224,cos_doy – models ocenia ryzyko wezbrania na 22%. Kierunek wpływu: wzrost. Pewność (prawdopodobieństwo z RF): 22%.,0,0,0,0
2021-01-03,zima,niskie,0.271,cos_doy,wzrost,0.271,cos_doy – models ocenia ryzyko wezbrania na 27%. Kierunek wpływu: wzrost. Pewność (prawdopodobieństwo z RF): 27%.,0,0,0,0
2021-01-04,zima,niskie,0.378,cos_doy,wzrost,0.378,cos_doy – models ocenia ryzyko wezbrania na 38%. Kierunek wpływu: wzrost. Pewność (prawdopodobieństwo z RF): 38%.,0,0,0,0
2021-01-05,zima,niskie,0.474,cos_doy,wzrost,0.474,cos_doy – models ocenia ryzyko wezbrania na 47%. Kierunek wpływu: wzrost. Pewność (prawdopodobieństwo z RF): 47%.,0,0,0,0
2021-01-06,zima,niskie,0.48,cos_doy,wzrost,0.48,cos_doy – models ocenia ryzyko wezbrania na 48%. Kierunek wpływu: wzrost. Pewność (prawdopodobieństwo z RF): 48%.,0,0,0,0
2021-01-07,zima,średnie,0.523,cos_doy,wzrost,0.523,cos_doy – models ocenia ryzyko wezbrania na 52%. Kierunek wpływu: wzrost. Pewność (prawdopodobieństwo z RF): 52%.,0,0,0,0
2021-01-08,zima,niskie,0.431,cos_doy,spadek,0.431,cos_doy – models ocenia ryzyko wezbrania na 43%. Kierunek wpływu: spadek. Pewność (prawdopodobieństwo z RF): 43%.,0,0,0,0
2021-01-09,zima,niskie,0.435,cos_doy,wzrost,0.435,cos_doy – models ocenia ryzyko wezbrania na 44%. Kierunek wpływu: wzrost. Pewność (prawdopodobieństwo z RF): 44%.,0,0,0,0
2021-01-10,zima,niskie,0.259,cos_doy,spadek,0.259,cos_doy – models ocenia ryzyko wezbrania na 26%. Kierunek wpływu: spadek. Pewność (prawdopodobieństwo z RF): 26%.,0,0,0,0
2021-01-11,zima,niskie,0.377,cos_doy,wzrost,0.377,cos_doy – models ocenia ryzyko wezbrania na 38%. Kierunek wpływu: wzrost. Pewność (prawdopodobieństwo z RF): 38%.,0,0,0,0
2021-01-12,zima,średnie,0.51,cos_doy,wzrost,0.51,cos_doy – models ocenia ryzyko wezbrania na 51%. Kierunek wpływu: wzrost. Pewność (prawdopodobieństwo z RF): 51%.,0,0,0,0
