czynnik,waznosc,waznosc_pct
cos_doy,0.13684158147223868,13.68
Ciśnienie_ampl,0.0990624946867842,9.91
Temp_średnia,0.07447101393058692,7.45
sin_doy,0.06941294779040522,6.94
Temp_średnia_lag_1d,0.06895743949192418,6.9
Opad_72h,0.0666490036891701,6.66
Temp_max,0.058266187063746123,5.83
Temp_min,0.04743837730840304,4.74
Ciśnienie_trend_3d,0.04590907731208075,4.59
Opad_lag_1d,0.03694105973184666,3.69
Wiatr_siła_proxy,0.03381489050948367,3.38
Ciśnienie_trend_7d,0.03353288064616535,3.35
Wilgotność_średnia,0.033524184654390436,3.35
Opad_24h,0.03180237067686848,3.18
Ciśnienie_delta_1d,0.027272287320789255,2.73
Opad_suma,0.024665017574095394,2.47
Ciśnienie_delta_3d,0.02415943815732362,2.42
Ciśnienie_średnia,0.02387177262194431,2.39
Opad_7d,0.022585334404768512,2.26
Ciśnienie_delta_2d,0.018406266703645157,1.84
Opad_lag_2d,0.01200937961677615,1.2
Opad_lag_3d,0.008867114279686021,0.89
Wiatr_cos_proxy,0.0015398803568778636,0.15
Wiatr_sin_proxy,0.0,0.0
