ep_start,ep_koniec,dl_dni,wykryty,onset_error_dni,offset_error_dni,pred_start,pred_koniec
2021-04-15,2021-04-15,1,False,,,,
2021-10-21,2021-10-24,4,True,-1.0,3.0,2021-10-20,2021-10-27
2021-11-05,2021-11-05,1,False,,,,
2021-11-07,2021-11-08,2,True,-5.0,4.0,2021-11-02,2021-11-12
2021-11-19,2021-11-23,5,True,0.0,12.0,2021-11-19,2021-12-05
2021-11-26,2021-11-26,1,False,,,,
2021-11-29,2021-12-03,5,True,-10.0,2.0,2021-11-19,2021-12-05
2021-12-19,2021-12-20,2,False,,,,
2021-12-24,2021-12-24,1,False,,,,
2022-01-06,2022-01-06,1,False,,,,
2022-01-14,2022-01-15,2,True,0.0,10.0,2022-01-14,2022-01-25
2022-01-17,2022-01-18,2,True,-3.0,7.0,2022-01-14,2022-01-25
2022-01-20,2022-01-22,3,True,-6.0,3.0,2022-01-14,2022-01-25
2022-01-28,2022-02-03,7,True,-1.0,29.0,2022-01-27,2022-03-04
2022-02-05,2022-02-12,8,True,-9.0,20.0,2022-01-27,2022-03-04
2022-02-15,2022-02-23,9,True,-19.0,9.0,2022-01-27,2022-03-04
2022-02-25,2022-02-28,4,True,-29.0,4.0,2022-01-27,2022-03-04
2022-03-02,2022-03-04,3,True,-34.0,0.0,2022-01-27,2022-03-04
2022-05-21,2022-05-21,1,False,,,,
2022-07-12,2022-07-12,1,False,,,,
2022-07-16,2022-07-17,2,False,,,,
2022-10-19,2022-10-19,1,False,,,,
2023-01-05,2023-01-05,1,False,,,,
2023-02-02,2023-02-04,3,True,0.0,1.0,2023-02-02,2023-02-05
2023-02-18,2023-02-22,5,True,-1.0,5.0,2023-02-17,2023-02-27
2023-02-26,2023-02-26,1,False,,,,
2023-03-04,2023-03-04,1,False,,,,
2023-08-06,2023-08-07,2,True,0.0,2.0,2023-08-06,2023-08-09
2023-10-03,2023-10-09,7,True,0.0,31.0,2023-10-03,2023-11-09
2023-10-13,2023-10-21,9,True,-10.0,19.0,2023-10-03,2023-11-09
2023-11-25,2023-11-26,2,True,-2.0,3.0,2023-11-23,2023-11-29
2023-12-22,2024-01-02,12,True,-2.0,2.0,2023-12-20,2024-01-04
2024-01-04,2024-01-05,2,False,,,,
2024-01-15,2024-01-16,2,True,-2.0,28.0,2024-01-13,2024-02-13
2024-01-20,2024-01-20,1,False,,,,
2024-01-25,2024-01-27,3,True,-12.0,17.0,2024-01-13,2024-02-13
2024-02-02,2024-02-13,12,True,-20.0,0.0,2024-01-13,2024-02-13
2024-07-29,2024-07-29,1,False,,,,
2024-09-14,2024-09-15,2,True,-2.0,0.0,2024-09-12,2024-09-15
2024-11-01,2024-11-04,4,True,-1.0,3.0,2024-10-31,2024-11-07
2024-11-20,2024-11-23,4,True,-4.0,2.0,2024-11-16,2024-11-25
2024-11-28,2024-11-29,2,True,0.0,8.0,2024-11-28,2024-12-07
2024-12-24,2024-12-24,1,False,,,,
2024-12-31,2024-12-31,1,False,,,,
2025-01-02,2025-01-07,6,True,-19.0,13.0,2024-12-14,2025-01-20
2025-01-09,2025-01-13,5,True,-26.0,7.0,2024-12-14,2025-01-20
2025-01-15,2025-01-16,2,True,-32.0,4.0,2024-12-14,2025-01-20
2025-01-18,2025-01-19,2,True,-35.0,1.0,2024-12-14,2025-01-20
2025-03-17,2025-03-17,1,False,,,,
2025-04-05,2025-04-05,1,False,,,,
2025-06-30,2025-06-30,1,False,,,,
2025-07-11,2025-07-12,2,True,0.0,1.0,2025-07-11,2025-07-13
2025-08-17,2025-08-17,1,False,,,,
2025-08-24,2025-08-25,2,True,0.0,2.0,2025-08-24,2025-08-27
2025-10-12,2025-10-13,2,False,,,,
2025-10-18,2025-10-18,1,False,,,,
2025-10-30,2025-10-31,2,True,-6.0,4.0,2025-10-24,2025-11-04
2025-11-14,2025-11-15,2,True,0.0,6.0,2025-11-14,2025-11-21
2025-11-21,2025-11-21,1,False,,,,
2025-12-27,2025-12-31,5,True,0.0,0.0,2025-12-27,2025-12-31
