ep_start,ep_koniec,pred_start,pred_koniec,peak_timing_error_dni,peak_magnitude_error
2021-10-21,2021-10-24,2021-10-20,2021-10-26,0,0.0
2021-11-07,2021-11-08,2021-11-02,2021-11-10,-3,0.0
2021-11-19,2021-11-23,2021-11-19,2021-12-04,1,0.12
2021-11-29,2021-12-03,2021-11-19,2021-12-04,-9,0.0
2021-12-19,2021-12-20,2021-12-19,2021-12-21,0,0.0
2022-01-14,2022-01-15,2022-01-13,2022-01-25,3,0.5099999999999999
2022-01-17,2022-01-18,2022-01-13,2022-01-25,0,0.15999999999999992
2022-01-20,2022-01-22,2022-01-13,2022-01-25,-3,0.0
2022-01-28,2022-02-03,2022-01-27,2022-03-04,-1,0.0
2022-02-05,2022-02-12,2022-01-27,2022-03-04,-10,0.65
2022-02-15,2022-02-23,2022-01-27,2022-03-04,-20,0.27
2022-02-25,2022-02-28,2022-01-27,2022-03-04,-28,0.42000000000000004
2022-03-02,2022-03-04,2022-01-27,2022-03-04,-32,0.81
2023-02-02,2023-02-04,2023-01-31,2023-02-05,1,0.0
2023-02-18,2023-02-22,2023-02-17,2023-02-27,1,0.10999999999999999
2023-10-03,2023-10-09,2023-10-03,2023-10-18,2,0.0
2023-10-13,2023-10-21,2023-10-03,2023-10-18,-9,0.16000000000000003
2023-11-25,2023-11-26,2023-11-23,2023-11-27,-1,0.0
2023-12-22,2024-01-02,2023-12-19,2024-01-05,-5,0.0
2024-01-04,2024-01-05,2023-12-19,2024-01-05,-13,0.22999999999999998
2024-01-15,2024-01-16,2024-01-12,2024-02-13,10,0.18999999999999995
2024-01-25,2024-01-27,2024-01-12,2024-02-13,0,0.10999999999999999
2024-02-02,2024-02-13,2024-01-12,2024-02-13,-13,0.0
2024-09-14,2024-09-15,2024-09-12,2024-09-15,-1,0.0
2024-11-01,2024-11-04,2024-10-31,2024-11-07,1,0.0
2024-11-20,2024-11-23,2024-11-17,2024-11-26,-2,0.0
2024-11-28,2024-11-29,2024-11-28,2024-12-07,5,0.0
2025-01-02,2025-01-07,2024-12-28,2025-01-20,7,0.34999999999999987
2025-01-09,2025-01-13,2024-12-28,2025-01-20,1,0.0
2025-01-15,2025-01-16,2024-12-28,2025-01-20,-4,0.6099999999999999
2025-01-18,2025-01-19,2024-12-28,2025-01-20,-7,0.6599999999999999
2025-10-30,2025-10-31,2025-10-29,2025-11-03,0,0.0
2025-11-14,2025-11-15,2025-11-14,2025-11-18,1,0.0
2025-12-27,2025-12-31,2025-12-27,2025-12-31,1,0.0
