ep_start,ep_koniec,pred_start,pred_koniec,peak_timing_error_dni,peak_magnitude_error
2021-10-21,2021-10-24,2021-10-20,2021-10-24,0,0.0
2021-11-07,2021-11-08,2021-11-07,2021-11-09,0,0.0
2021-11-19,2021-11-23,2021-11-19,2021-11-23,0,0.0
2021-11-29,2021-12-03,2021-11-28,2021-12-03,1,0.0
2021-12-19,2021-12-20,2021-12-19,2021-12-20,0,0.0
2022-01-14,2022-01-15,2022-01-14,2022-01-15,-1,0.0
2022-01-17,2022-01-18,2022-01-17,2022-01-18,-1,0.0
2022-01-20,2022-01-22,2022-01-20,2022-01-22,1,0.0
2022-01-28,2022-02-03,2022-01-27,2022-02-12,6,0.0
2022-02-05,2022-02-12,2022-01-27,2022-02-12,-3,0.65
2022-02-15,2022-02-23,2022-02-15,2022-02-27,1,0.0
2022-02-25,2022-02-28,2022-02-15,2022-02-27,-7,0.15000000000000002
2022-03-02,2022-03-04,2022-03-02,2022-03-04,1,0.0
2023-02-02,2023-02-04,2023-01-30,2023-02-04,-1,0.0
2023-02-18,2023-02-22,2023-02-17,2023-02-24,0,0.0
2023-10-03,2023-10-09,2023-10-04,2023-10-08,2,0.0
2023-10-13,2023-10-21,2023-10-13,2023-10-17,-1,0.0
2023-11-25,2023-11-26,2023-11-23,2023-11-28,-1,0.0
2023-12-22,2024-01-02,2023-12-20,2024-01-05,-5,0.0
2024-01-04,2024-01-05,2023-12-20,2024-01-05,-13,0.22999999999999998
2024-01-15,2024-01-16,2024-01-15,2024-01-16,-1,0.0
2024-01-25,2024-01-27,2024-01-19,2024-01-28,-1,0.0
2024-02-02,2024-02-13,2024-02-01,2024-02-14,5,0.0
2024-09-14,2024-09-15,2024-09-14,2024-09-15,-1,0.0
2024-11-01,2024-11-04,2024-11-01,2024-11-04,-1,0.0
2024-11-20,2024-11-23,2024-11-17,2024-11-23,-2,0.0
2024-11-28,2024-11-29,2024-11-28,2024-11-29,0,0.0
2025-01-02,2025-01-07,2024-12-31,2025-01-15,7,0.34999999999999987
2025-01-09,2025-01-13,2024-12-31,2025-01-15,1,0.0
2025-08-24,2025-08-25,2025-08-24,2025-08-25,0,0.0
2025-10-30,2025-10-31,2025-10-29,2025-10-31,-1,0.0
2025-11-14,2025-11-15,2025-11-14,2025-11-18,0,0.0
2025-12-27,2025-12-31,2025-12-27,2025-12-31,2,0.0
