Data,sezon,ryzyko,prawdopodobienstwo,glowny_czynnik,kierunek,pewnosc,komunikat,epizod_rzeczywisty,epizod_Strzyza,epizod_Martwa_Wisla,epizod_Port_Polnocny
2021-01-01,zima,niskie,0.148,cos_doy,→,0.148,cos_doy – model ocenia ryzyko wezbrania na 15%. Kierunek wpływu: →. Pewność (prawdopodobieństwo z RF): 15%.,0,0,0,0
2021-01-02,zima,niskie,0.176,cos_doy,↑,0.176,cos_doy – model ocenia ryzyko wezbrania na 18%. Kierunek wpływu: ↑. Pewność (prawdopodobieństwo z RF): 18%.,0,0,0,0
2021-01-03,zima,niskie,0.199,cos_doy,↑,0.199,cos_doy – model ocenia ryzyko wezbrania na 20%. Kierunek wpływu: ↑. Pewność (prawdopodobieństwo z RF): 20%.,0,0,0,0
2021-01-04,zima,niskie,0.298,cos_doy,↑,0.298,cos_doy – model ocenia ryzyko wezbrania na 30%. Kierunek wpływu: ↑. Pewność (prawdopodobieństwo z RF): 30%.,0,0,0,0
2021-01-05,zima,niskie,0.412,cos_doy,↑,0.412,cos_doy – model ocenia ryzyko wezbrania na 41%. Kierunek wpływu: ↑. Pewność (prawdopodobieństwo z RF): 41%.,0,0,0,0
2021-01-06,zima,niskie,0.414,cos_doy,↑,0.414,cos_doy – model ocenia ryzyko wezbrania na 41%. Kierunek wpływu: ↑. Pewność (prawdopodobieństwo z RF): 41%.,0,0,0,0
2021-01-07,zima,niskie,0.46,cos_doy,↑,0.46,cos_doy – model ocenia ryzyko wezbrania na 46%. Kierunek wpływu: ↑. Pewność (prawdopodobieństwo z RF): 46%.,0,0,0,0
2021-01-08,zima,niskie,0.385,cos_doy,↓,0.385,cos_doy – model ocenia ryzyko wezbrania na 39%. Kierunek wpływu: ↓. Pewność (prawdopodobieństwo z RF): 39%.,0,0,0,0
2021-01-09,zima,niskie,0.405,cos_doy,↑,0.405,cos_doy – model ocenia ryzyko wezbrania na 41%. Kierunek wpływu: ↑. Pewność (prawdopodobieństwo z RF): 41%.,0,0,0,0
2021-01-10,zima,niskie,0.188,cos_doy,↓,0.188,cos_doy – model ocenia ryzyko wezbrania na 19%. Kierunek wpływu: ↓. Pewność (prawdopodobieństwo z RF): 19%.,0,0,0,0
2021-01-11,zima,niskie,0.256,cos_doy,↑,0.256,cos_doy – model ocenia ryzyko wezbrania na 26%. Kierunek wpływu: ↑. Pewność (prawdopodobieństwo z RF): 26%.,0,0,0,0
2021-01-12,zima,niskie,0.435,cos_doy,↑,0.435,cos_doy – model ocenia ryzyko wezbrania na 44%. Kierunek wpływu: ↑. Pewność (prawdopodobieństwo z RF): 44%.,0,0,0,0
2021-01-13,zima,niskie,0.266,cos_doy,↓,0.266,cos_doy – model ocenia ryzyko wezbrania na 27%. Kierunek wpływu: ↓. Pewność (prawdopodobieństwo z RF): 27%.,0,0,0,0
2021-01-14,zima,wysokie,0.656,cos_doy,↑,0.656,cos_doy – model ocenia ryzyko wezbrania na 66%. Kierunek wpływu: ↑. Pewność (prawdopodobieństwo z RF): 66%.,0,0,0,0
2021-01-15,zima,niskie,0.42,cos_doy,↓,0.42,cos_doy – model ocenia ryzyko wezbrania na 42%. Kierunek wpływu: ↓. Pewność (prawdopodobieństwo z RF): 42%.,0,0,0,0
2021-01-16,zima,niskie,0.434,cos_doy,↑,0.434,cos_doy – model ocenia ryzyko wezbrania na 43%. Kierunek wpływu: ↑. Pewność (prawdopodobieństwo z RF): 43%.,0,0,0,0
2021-01-17,zima,niskie,0.3,cos_doy,↓,0.3,cos_doy – model ocenia ryzyko wezbrania na 30%. Kierunek wpływu: ↓. Pewność (prawdopodobieństwo z RF): 30%.,0,0,0,0
2021-01-18,zima,niskie,0.221,cos_doy,↓,0.221,cos_doy – model ocenia ryzyko wezbrania na 22%. Kierunek wpływu: ↓. Pewność (prawdopodobieństwo z RF): 22%.,0,0,0,0
2021-01-19,zima,niskie,0.282,cos_doy,↑,0.282,cos_doy – model ocenia ryzyko wezbrania na 28%. Kierunek wpływu: ↑. Pewność (prawdopodobieństwo z RF): 28%.,0,0,0,0
2021-01-20,zima,niskie,0.374,cos_doy,↑,0.374,cos_doy – model ocenia ryzyko wezbrania na 37%. Kierunek wpływu: ↑. Pewność (prawdopodobieństwo z RF): 37%.,0,0,0,0
2021-01-21,zima,średnie,0.524,cos_doy,↑,0.524,cos_doy – model ocenia ryzyko wezbrania na 52%. Kierunek wpływu: ↑. Pewność (prawdopodobieństwo z RF): 52%.,0,0,0,0
2021-01-22,zima,średnie,0.542,cos_doy,↑,0.542,cos_doy – model ocenia ryzyko wezbrania na 54%. Kierunek wpływu: ↑. Pewność (prawdopodobieństwo z RF): 54%.,0,0,0,0
2021-01-23,zima,wysokie,0.786,cos_doy,↑,0.786,cos_doy – model ocenia ryzyko wezbrania na 79%. Kierunek wpływu: ↑. Pewność (prawdopodobieństwo z RF): 79%.,0,0,0,0
2021-01-24,zima,wysokie,0.72,cos_doy,↓,0.72,cos_doy – model ocenia ryzyko wezbrania na 72%. Kierunek wpływu: ↓. Pewność (prawdopodobieństwo z RF): 72%.,0,0,0,0
