czynnik,waznosc,waznosc_pct
cos_doy,0.1213097505496632,12.13
Ciśnienie_ampl,0.11522816907292406,11.52
sin_doy,0.08329420612523998,8.33
Opad_72h,0.0795641212899444,7.96
Temp_średnia,0.07179498389234965,7.18
Temp_średnia_lag_1d,0.06292246160854256,6.29
Ciśnienie_trend_3d,0.05101554825630036,5.1
Opad_24h,0.04978947797839268,4.98
Temp_max,0.04776748913687154,4.78
Opad_suma,0.03811196912201032,3.81
Opad_lag_1d,0.03695218797549056,3.7
Temp_min,0.03395188193546795,3.4
Wiatr_siła_proxy,0.03289192062659248,3.29
Wilgotność_średnia,0.031495083112727994,3.15
Ciśnienie_trend_7d,0.028228892665696673,2.82
Ciśnienie_delta_1d,0.02460999627703241,2.46
Ciśnienie_delta_3d,0.02105021970851698,2.11
Opad_7d,0.019731243626586254,1.97
Ciśnienie_średnia,0.016742277873721303,1.67
Ciśnienie_delta_2d,0.015181140264569423,1.52
Opad_lag_2d,0.009111292376867445,0.91
Opad_lag_3d,0.008071008125938764,0.81
Wiatr_cos_proxy,0.0011846783985530725,0.12
Wiatr_sin_proxy,0.0,0.0
